jobId,title,company,jobUrl
2027323,Nhân Viên Lễ Tân kiêm Hành Chính Nhân Sự - Lương 400-800 USD,"Techno Vietnam Industries Co., Ltd.",https://www.vietnamworks.com/nhan-vien-le-tan-kiem-hanh-chinh-nhan-su-luong-400-800-usd-2027323-jv
2006237,Nhân Viên Kho (HĐ 6 Tháng) - 100% Lương Gross + BH Full Từ Tháng Đầu,Louis Dreyfus Company (LDC) Vietnam,https://www.vietnamworks.com/nhan-vien-kho-hdj-6-thang-100percent-luong-gross-bh-full-tu-thang-djau-2006237-jv
2031270,Network Admin,Công Ty Cổ Phần Tập Đoàn Masan,https://www.vietnamworks.com/network-admin-2031270-jv
2016288,Export Sales Specialist (Global Market),Joy Reap Metal,https://www.vietnamworks.com/export-sales-specialist-global-market-2016288-jv
2028729,Business Analyst (Middle/Senior Level) khối AI Thiết Bị/Dữ liệu/Smartcity/Nền tảng,CÔNG TY CỔ PHẦN VINSMART FUTURE,https://www.vietnamworks.com/business-analyst-middlesenior-level-khoi-ai-thiet-bidu-lieusmartcitynen-tang-2028729-jv
2038057,Chuyên Viên Pháp Chế Cao Cấp,GSM,https://www.vietnamworks.com/chuyen-vien-phap-che-cao-cap--2038057-jv
2026291,[HCM] Chuyên Viên Tư Vấn Kinh Doanh - B2B,Navigos Group,https://www.vietnamworks.com/hcm-chuyen-vien-tu-van-kinh-doanh-b2b-2026291-jv
2024215,Sales Manager,Matson Navigation Inc.,https://www.vietnamworks.com/sales-manager-2024215-jv
2024214,Office Manager,Matson Navigation Inc.,https://www.vietnamworks.com/office-manager--2024214-jv
2012701,Accounting Staff (Fresh Graduates are Welcome to Apply),LX Pantos Vietnam,https://www.vietnamworks.com/accounting-staff-fresh-graduates-are-welcome-to-apply-2012701-jv
2033227,Primary Art Intern,BIS - British International School,https://www.vietnamworks.com/primary-art-intern--2033227-jv
2036767,Trưởng Nhóm Quản Lý Chất Lượng - Khối AI&Data,CÔNG TY CỔ PHẦN VINSMART FUTURE,https://www.vietnamworks.com/truong-nhom-quan-ly-chat-luong-khoi-aianddata-2036767-jv
2036766,Quản Lý Dự Án Công Nghệ AI (Project Manager - khối AI&Dta) ,CÔNG TY CỔ PHẦN VINSMART FUTURE,https://www.vietnamworks.com/quan-ly-du-an-cong-nghe-ai-project-manager-khoi-aianddta-2036766-jv
2034506,Chuyên viên Khách ngoại giao,CÔNG TY TNHH MẶT TRỜI PHÚ QUỐC,https://www.vietnamworks.com/chuyen-vien-khach-ngoai-giao-2034506-jv
2034503,Chuyên Viên Kinh Doanh Express - Xanh Delivery,GSM,https://www.vietnamworks.com/chuyen-vien-kinh-doanh-express-xanh-delivery-2034503-jv
2026278,[HCM] Nhân Viên Kinh Doanh - Telesales (Open for Fresher),Navigos Group,https://www.vietnamworks.com/hcm-nhan-vien-kinh-doanh-telesales-open-for-fresher--2026278-jv
